timestamp,x,y,z,qx,qy,qz,qw
637139238387771648, 0.00534754246, 0.07040761, 0.08256753, 0.05382532, 0.006120888, -0.01924089, 0.9983462
637139238388383989, 0.006098575, 0.069665134, 0.08200507, 0.0557706244, 0.003674986, -0.0179477129, 0.9982755
637139238388518752, 0.008289796, 0.06861843, 0.07864448, 0.05766707, 0.00213534781, -0.0174714178, 0.9981807
637139238388638607, 0.008472403, 0.06908129, 0.07822265, 0.0545392558, 0.0004871876, -0.0188930538, 0.998332739
637139238388703466, 0.00875014, 0.06923124, 0.077711, 0.0530026034, -0.0005863623, -0.01938216, 0.9984061
637139238388843239, 0.008124325, 0.06998877, 0.0781557, 0.04976059, -0.00268350239, -0.0206635222, 0.9985438
637139238389003486, 0.007664916, 0.07036264, 0.07783605, 0.0480156, -0.00580709567, -0.022730343, 0.998571038
637139238389178585, 0.00655003544, 0.0704739243, 0.07759294, 0.0474871434, -0.0103167221, -0.02552775, 0.9984923
637139238389338343, 0.00548152439, 0.0705054253, 0.0776012, 0.0477360636, -0.0143670514, -0.02518339, 0.998439133
637139238389508051, 0.00439581461, 0.0706321, 0.07780005, 0.0460053347, -0.0179961082, -0.0231232364, 0.9985114
637139238389676981, 0.00324055925, 0.07098737, 0.07818626, 0.0440316051, -0.0217071921, -0.0195750166, 0.99860245
637139238389838437, 0.002361685, 0.0712166, 0.07828967, 0.04323598, -0.02478256, -0.01813802, 0.9985928
637139238390003177, 0.00139891915, 0.07115394, 0.07835652, 0.0438726731, -0.0270191114, -0.0177943837, 0.998513162
637139238390175410, 0.000611119, 0.07099599, 0.07811111, 0.0459772944, -0.029115716, -0.0171121564, 0.9983715
637139238390340212, -8.0652535E-06, 0.07100549, 0.07776795, 0.0466963872, -0.0306048039, -0.0160144325, 0.998311758
637139238390505268, -0.0006226944, 0.07134408, 0.0774765, 0.0453038923, -0.03188989, -0.015060408, 0.998350561
637139238390673922, -0.00111761037, 0.07183029, 0.07739857, 0.04210665, -0.0334349647, -0.0140867876, 0.998454154
637139238390852040, -0.00154512282, 0.07231501, 0.07725863, 0.0396077745, -0.0343353637, -0.0140410559, 0.9985265
637139238391006412, -0.002022583, 0.07243656, 0.07699624, 0.0387611426, -0.03569518, -0.0141306119, 0.9985108
637139238391216412, -0.00255784951, 0.07236135, 0.0766374543, 0.03970381, -0.0369167626, -0.0152266724, 0.9984132
637139238391346210, -0.003066183, 0.07234603, 0.07630797, 0.04000745, -0.0376777947, -0.015980497, 0.9983609
637139238391505999, -0.00356454961, 0.072411716, 0.0760468245, 0.0394746326, -0.0382656679, -0.016186526, 0.9983564
637139238391675251, -0.00399562344, 0.07255255, 0.07583554, 0.03886476, -0.03830618, -0.0161085054, 0.998380065
637139238391841797, -0.004493472, 0.07309443, 0.07563819, 0.03646913, -0.03770435, -0.016491564, 0.998487055
637139238392001520, -0.00515042432, 0.07380462, 0.0754836947, 0.0329652652, -0.037479762, -0.0165753178, 0.998616
637139238392176250, -0.00587117765, 0.07462412, 0.0752551258, 0.0286220964, -0.0363460146, -0.0158660877, 0.9988033
637139238392350957, -0.00637531, 0.07522461, 0.07486208, 0.026599342, -0.03497942, -0.0151290912, 0.9989194
637139238392510770, -0.006959674, 0.0758425444, 0.0743418038, 0.0253587458, -0.03356953, -0.0150998067, 0.999000549
637139238392670464, -0.007834791, 0.0765133053, 0.07381104, 0.0233830474, -0.0327131823, -0.0165409315, 0.9990543
637139238392840238, -0.00900271, 0.07721998, 0.0730973, 0.021742221, -0.03172611, -0.0187076833, 0.999084949
637139238393009929, -0.0102996835, 0.07769328, 0.0722695142, 0.02076536, -0.02956119, -0.0209973082, 0.9991267
637139238393174687, -0.0114829969, 0.0780668855, 0.0714329, 0.0198466722, -0.0266687144, -0.0222343616, 0.9992
637139238393339431, -0.0126821436, 0.07843715, 0.07069746, 0.0189336538, -0.0235255547, -0.0233572386, 0.999271035
637139238393509189, -0.014095813, 0.0786666349, 0.06995462, 0.0182479918, -0.0196582489, -0.0244882815, 0.999340236
637139238393668899, -0.0157005675, 0.0789386258, 0.0693094954, 0.01691062, -0.01554316, -0.0256839786, 0.9994062
637139238393843605, -0.0175823551, 0.07925925, 0.06870459, 0.0149918441, -0.01069261, -0.02743358, 0.999454
637139238394001620, -0.019308785, 0.07954259, 0.06807582, 0.0137593122, -0.00619139941, -0.0295621958, 0.9994491
637139238394168133, -0.02111721, 0.0795782954, 0.06744844, 0.0132671827, 8.23561058E-05, -0.0312682875, 0.999422967
637139238394337952, -0.02280238, 0.07958326, 0.06686414, 0.0126092676, 0.008905783, -0.0307606068, 0.9994076
637139238394497680, -0.0242230427, 0.08001234, 0.0663445, 0.0109003531, 0.0173085313, -0.0300031267, 0.999340534
637139238394662673, -0.0257593021, 0.08059882, 0.06568831, 0.009005456, 0.02793658, -0.0292495657, 0.9991411
637139238394841816, -0.0274278242, 0.08102006, 0.0648963451, 0.008059594, 0.0403252169, -0.0297102518, 0.9987123
637139238395006886, -0.02893017, 0.08124204, 0.0641672, 0.007392265, 0.0518925823, -0.0305015724, 0.9981594
637139238395176769, -0.0301837064, 0.08135465, 0.06333636, 0.00673929043, 0.06584457, -0.03065814, 0.99733603
637139238395341468, -0.03169147, 0.08139858, 0.062429145, 0.005151151, 0.0802009553, -0.0293890145, 0.996332049
637139238395501147, -0.0333501175, 0.0814153552, 0.06161474, 0.00337148737, 0.0917112753, -0.0280156564, 0.995385766
637139238395665856, -0.0353141278, 0.08135292, 0.0607447065, 0.0008080194, 0.102377877, -0.02678976, 0.994384468
637139238395835611, -0.03729735, 0.0810978562, 0.0599978045, -0.00226647942, 0.111361139, -0.0257883761, 0.9934428
637139238396004917, -0.03922101, 0.0805633, 0.05921821, -0.004439991, 0.119163521, -0.02443001, 0.992564142
637139238396166486, -0.0411999971, 0.07991824, 0.0583415553, -0.00586150261, 0.124785565, -0.0219382867, 0.991923869
637139238396336270, -0.0431139022, 0.0795393139, 0.05760265, -0.008343365, 0.127530441, -0.0203468464, 0.991590858
